what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400152812263
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1400152888138
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1400152888149
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1400152888213
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1400152888260
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1400152888531
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1400152888574
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1400152888581
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1400152888682
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1400152888685
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1400152888862
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1400152895187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1400152927396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400152980591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153059151
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1400153291117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1400153385816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400153402204
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1400153405656
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1400153405959
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1400153405982
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1400153406180
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1400153407271
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1400153407300
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400153413466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1400153428723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153432035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153440453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1400153447423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400153451554
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1400153453759
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400153468028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400153470696
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1400153470780
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1400153472405
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400153479366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400153481527
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1400153483517
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1400153493440
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400153513950
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1400153517418
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1400153517433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153519285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153531504
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400153531671
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400153531732
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400153570391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1400153578643
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1400153580088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400153581337
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1400153690919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1400153693562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153699591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153703070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153746471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153750103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153763643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153764867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153883793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153920327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153923674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153944424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153949299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153969895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153993354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400153996623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400154076642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400154085495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400154087161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400154095662
